label,arm,dock,period,phase,nav,outcome,bag
coreAB_A_sway_p20_ph0.0,A,sway,20,0.0,none,STALLED,none
coreAB_A_sway_p20_ph0.0,A,sway,20,0.0,none,DOCKED,coreAB_A_sway_p20_ph0.0_20260921_154542
coreAB_A_sway_p20_ph2.094,A,sway,20,2.094,none,DOCKED,coreAB_A_sway_p20_ph2.094_20260921_154820
coreAB_A_sway_p20_ph4.189,A,sway,20,4.189,none,DOCKED,coreAB_A_sway_p20_ph4.189_20260921_155108
coreAB_A_sway_p16_ph0.0,A,sway,16,0.0,none,DOCKED,coreAB_A_sway_p16_ph0.0_20260921_155412
coreAB_A_sway_p16_ph2.094,A,sway,16,2.094,none,DOCKED,coreAB_A_sway_p16_ph2.094_20260921_155649
coreAB_A_sway_p16_ph4.189,A,sway,16,4.189,none,DOCKED,coreAB_A_sway_p16_ph4.189_20260921_155931
coreAB_A_sway_p12_ph0.0,A,sway,12,0.0,none,DOCKED,coreAB_A_sway_p12_ph0.0_20260921_160220
coreAB_A_sway_p12_ph2.094,A,sway,12,2.094,none,DOCKED,coreAB_A_sway_p12_ph2.094_20260921_160522
coreAB_A_sway_p12_ph4.189,A,sway,12,4.189,none,DOCKED,coreAB_A_sway_p12_ph4.189_20260921_160822
coreAB_A_sway_p10_ph0.0,A,sway,10,0.0,none,DOCKED,coreAB_A_sway_p10_ph0.0_20260921_161118
coreAB_A_sway_p10_ph2.094,A,sway,10,2.094,none,DOCKED,coreAB_A_sway_p10_ph2.094_20260921_161336
coreAB_A_sway_p10_ph4.189,A,sway,10,4.189,none,DOCKED,coreAB_A_sway_p10_ph4.189_20260921_161718
coreAB_A_sway_p8_ph0.0,A,sway,8,0.0,none,DOCKED,coreAB_A_sway_p8_ph0.0_20260921_162048
coreAB_A_sway_p8_ph2.094,A,sway,8,2.094,none,DOCKED,coreAB_A_sway_p8_ph2.094_20260921_162359
coreAB_A_sway_p8_ph4.189,A,sway,8,4.189,none,DOCKED,coreAB_A_sway_p8_ph4.189_20260921_163052
coreAB_A_sway_p6_ph0.0,A,sway,6,0.0,none,DOCKED,coreAB_A_sway_p6_ph0.0_20260921_163536
coreAB_A_sway_p6_ph2.094,A,sway,6,2.094,none,DOCKED,coreAB_A_sway_p6_ph2.094_20260921_163840
coreAB_A_sway_p6_ph4.189,A,sway,6,4.189,none,DOCKED,coreAB_A_sway_p6_ph4.189_20260921_164410
coreAB_B_sway_p20_ph0.0,B,sway,20,0.0,none,DOCKED,coreAB_B_sway_p20_ph0.0_20260921_164839
coreAB_B_sway_p20_ph2.094,B,sway,20,2.094,none,DOCKED,coreAB_B_sway_p20_ph2.094_20260921_165258
coreAB_B_sway_p20_ph4.189,B,sway,20,4.189,none,DOCKED,coreAB_B_sway_p20_ph4.189_20260921_165535
coreAB_B_sway_p16_ph0.0,B,sway,16,0.0,none,DOCKED,coreAB_B_sway_p16_ph0.0_20260921_165845
coreAB_B_sway_p16_ph2.094,B,sway,16,2.094,none,DOCKED,coreAB_B_sway_p16_ph2.094_20260921_170148
coreAB_B_sway_p16_ph4.189,B,sway,16,4.189,none,DOCKED,coreAB_B_sway_p16_ph4.189_20260921_170517
coreAB_B_sway_p12_ph0.0,B,sway,12,0.0,none,DOCKED,coreAB_B_sway_p12_ph0.0_20260921_170814
coreAB_B_sway_p12_ph2.094,B,sway,12,2.094,none,DOCKED,coreAB_B_sway_p12_ph2.094_20260921_171133
coreAB_B_sway_p12_ph4.189,B,sway,12,4.189,none,DOCKED,coreAB_B_sway_p12_ph4.189_20260921_171438
coreAB_B_sway_p10_ph0.0,B,sway,10,0.0,none,DOCKED,coreAB_B_sway_p10_ph0.0_20260921_171944
coreAB_B_sway_p10_ph2.094,B,sway,10,2.094,none,TIMEOUT,coreAB_B_sway_p10_ph2.094_20260921_172313
coreAB_B_sway_p10_ph4.189,B,sway,10,4.189,none,DOCKED,coreAB_B_sway_p10_ph4.189_20260921_172821
coreAB_B_sway_p8_ph0.0,B,sway,8,0.0,none,TIMEOUT,coreAB_B_sway_p8_ph0.0_20260921_173134
coreAB_B_sway_p8_ph2.094,B,sway,8,2.094,none,TIMEOUT,coreAB_B_sway_p8_ph2.094_20260921_174412
coreAB_B_sway_p8_ph4.189,B,sway,8,4.189,none,TIMEOUT,coreAB_B_sway_p8_ph4.189_20260921_174941
coreAB_B_sway_p6_ph0.0,B,sway,6,0.0,none,TIMEOUT,coreAB_B_sway_p6_ph0.0_20260921_175612
coreAB_B_sway_p6_ph2.094,B,sway,6,2.094,none,TIMEOUT,coreAB_B_sway_p6_ph2.094_20260921_180629
coreAB_B_sway_p6_ph4.189,B,sway,6,4.189,none,TIMEOUT,coreAB_B_sway_p6_ph4.189_20260921_182117
