cell,arm,dock,period,phase,nav,outcome,docked,t_dock_s,capture_lateral_m,capture_vertical_m,capture_offset_m,closing_speed_m_s,contact_offset_m,contact_speed_m_s,meas_err_rms_cm,track_err_rms_cm,vel_err_rms_m_s,vel_amp_ratio,vel_err_corr_vehicle,vel_err_corr_nav,veh_over_dock,blackout_frac,n_demotions,n_stale,n_gaps_gt1s
armc_C_sway_p8_ph0.0,C,sway,8.0,0.0,,CLEAN,True,47.703,0.008,-0.0013,0.0081,0.0117,nan,nan,0.3511,0.8799,0.0228,1.0324,0.1591,nan,1.0375,0.012,0,1,0
bridge_B_sway_p8_ph0.0,B,sway,8.0,0.0,,CONTACT,False,nan,0.0648,0.0062,0.0651,0.0221,0.1512,0.0033,0.405,0.657,0.0208,1.0646,-0.0005,nan,1.5327,0.0,1,1,0
bridge_B_sway_p8_ph2.094,B,sway,8.0,2.094,,CONTACT,False,nan,-0.0016,-0.0198,0.0199,0.0723,0.1505,0.0049,0.2178,0.6848,0.0219,1.0375,-0.1141,nan,1.5096,0.0109,1,1,0
bridge_B_sway_p8_ph4.189,B,sway,8.0,4.189,,CONTACT,False,nan,-0.0474,-0.0254,0.0537,0.0666,0.1511,0.0014,0.1583,0.6244,0.0194,1.0221,-0.1241,nan,1.7137,0.1344,1,2,3
bridge_C_sway_p8_ph0.0,C,sway,8.0,0.0,,CLEAN,True,59.858,-0.0258,0.0305,0.04,0.0142,nan,nan,0.4139,0.6887,0.0218,1.0319,0.1098,nan,1.0222,0.0048,0,0,0
bridge_C_sway_p8_ph2.094,C,sway,8.0,2.094,,CLEAN,True,44.169,-0.0015,0.0324,0.0324,0.0219,nan,nan,0.4077,0.4836,0.017,1.0267,0.1212,nan,0.9655,0.0022,0,1,0
bridge_C_sway_p8_ph4.189,C,sway,8.0,4.189,,CLEAN,True,46.961,-0.0233,0.0322,0.0397,0.0231,nan,nan,0.3114,0.6734,0.0219,1.0748,0.2262,nan,1.0942,0.0766,0,1,1
bridge_D_sway_p8_ph0.0,D,sway,8.0,0.0,,CLEAN,True,53.823,0.0139,0.0473,0.0493,0.0268,nan,nan,0.1961,0.7417,0.0213,1.045,-0.1599,nan,1.4772,0.013,0,1,0
bridge_D_sway_p8_ph2.094,D,sway,8.0,2.094,,CLEAN,True,56.419,0.0243,0.0387,0.0457,0.0416,nan,nan,0.4701,1.0057,0.0189,1.0661,-0.1381,nan,1.5229,0.0069,0,1,0
bridge_D_sway_p8_ph4.189,D,sway,8.0,4.189,,CONTACT,True,175.006,0.0487,0.0221,0.0534,0.0515,0.1505,0.0011,0.1834,0.7526,0.0219,1.0731,-0.0623,nan,1.5798,0.1484,2,5,4
core_C_sway_p10_ph0.0,C,sway,10.0,0.0,,CLEAN,True,41.157,-0.0055,0.0242,0.0248,0.0217,nan,nan,0.4427,0.3872,0.0127,1.0278,0.1682,nan,0.9199,0.0,0,1,0
core_C_sway_p10_ph2.094,C,sway,10.0,2.094,,CLEAN,True,41.662,-0.0017,0.0026,0.003,0.0216,nan,nan,0.3133,0.542,0.0164,1.0498,0.1178,nan,0.9168,0.0,0,1,0
core_C_sway_p10_ph4.189,C,sway,10.0,4.189,,CLEAN,True,42.711,0.0051,-0.0004,0.0051,0.0206,nan,nan,0.2271,0.7871,0.0165,1.066,0.0533,nan,0.9274,0.0,0,1,0
core_C_sway_p12_ph0.0,C,sway,12.0,0.0,,CLEAN,True,85.504,-0.015,0.0146,0.021,0.023,nan,nan,0.2724,0.4145,0.0112,1.0367,0.0044,nan,1.2844,0.0531,0,1,1
core_C_sway_p12_ph2.094,C,sway,12.0,2.094,,CLEAN,True,42.353,-0.0009,0.0189,0.0189,0.0218,nan,nan,0.3585,0.6602,0.017,1.1567,0.2614,nan,0.9449,0.0,0,1,0
core_C_sway_p12_ph4.189,C,sway,12.0,4.189,,CLEAN,True,40.307,0.0036,0.0086,0.0093,0.0217,nan,nan,0.4753,0.331,0.0111,1.0397,0.1335,nan,0.8684,0.0,0,1,0
core_C_sway_p16_ph0.0,C,sway,16.0,0.0,,CLEAN,True,41.506,-0.0063,0.0103,0.0121,0.0217,nan,nan,0.3062,0.3039,0.0101,1.1177,0.2595,nan,0.9329,0.0023,0,1,0
core_C_sway_p16_ph2.094,C,sway,16.0,2.094,,CLEAN,True,47.438,0.0023,0.0102,0.0105,0.0225,nan,nan,0.6162,0.3989,0.0088,1.0385,0.0074,nan,0.9706,0.0102,0,1,0
core_C_sway_p16_ph4.189,C,sway,16.0,4.189,,CLEAN,True,45.322,-0.0078,0.0204,0.0218,0.022,nan,nan,0.5179,0.4539,0.0123,1.0955,0.0565,nan,0.9948,0.0083,0,1,0
