cell,arm,period,mode,t_start,t_end,dock_amp,veh_amp,ratio,veh_phase_deg,dock_vel_amp,est_vel_amp,est_vel_corr,veh_vel_amp,cmd_amp,ff_share,plant_gain,plant_gain_broadband,plant_lag_s,fit_period
clamped_static_sway_p6_ph0.0,static,6.0,COARSE (ALT_HOLD),-0.5,16.0,0.1,0.018,0.18,69.595,0.102,0.0,nan,0.042,0.004,0.0,3.525,2.258,5.907,6.0
clamped_static_sway_p6_ph2.094,static,6.0,COARSE (ALT_HOLD),3.1,18.2,0.097,0.056,0.575,36.449,0.105,0.0,nan,0.084,0.005,0.0,10.292,3.787,1.301,6.0
clamped_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),3.0,16.4,0.1,0.028,0.281,84.336,0.107,0.0,nan,0.058,0.011,0.0,3.668,2.268,0.866,6.0
clamped_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),79.6,95.9,0.1,0.009,0.093,236.304,0.101,0.0,nan,0.043,0.003,0.0,6.493,2.527,0.695,6.0
clamped_sway_sway_p10_ph0.0,sway,10.0,FINE (STABILIZE),14.1,44.8,0.1,0.15,1.505,336.559,0.062,0.065,0.966,0.1,0.012,0.039,7.688,2.988,0.817,10.0
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),10.1,34.0,0.097,0.143,1.475,338.545,0.062,0.066,0.964,0.102,0.015,0.04,6.177,2.638,0.498,10.0
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),53.8,80.9,0.098,0.143,1.453,340.861,0.064,0.065,0.964,0.105,0.015,0.039,6.47,2.977,0.28,10.0
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),99.5,122.6,0.098,0.14,1.43,336.876,0.062,0.065,0.97,0.099,0.013,0.039,7.146,2.838,0.233,10.0
clamped_sway_sway_p10_ph4.189,sway,10.0,FINE (STABILIZE),17.5,48.3,0.1,0.155,1.551,335.408,0.063,0.066,0.967,0.104,0.012,0.04,8.363,3.039,1.155,10.0
clamped_sway_sway_p6_ph0.0,sway,6.0,COARSE (ALT_HOLD),1.5,15.4,0.098,0.1,1.024,9.102,0.102,0.103,0.9,0.146,0.035,0.062,3.421,2.133,0.358,6.0
clamped_sway_sway_p6_ph0.0,sway,6.0,FINE (STABILIZE),15.5,48.9,0.099,0.188,1.89,352.334,0.105,0.104,0.947,0.211,0.059,0.063,3.421,2.759,0.461,6.0
clamped_sway_sway_p6_ph2.094,sway,6.0,COARSE (ALT_HOLD),1.2,15.1,0.098,0.114,1.161,18.127,0.102,0.102,0.907,0.145,0.039,0.061,3.355,2.218,2.093,6.0
clamped_sway_sway_p6_ph2.094,sway,6.0,FINE (STABILIZE),15.2,48.1,0.099,0.186,1.871,355.131,0.105,0.102,0.919,0.209,0.037,0.061,5.394,2.814,0.165,6.0
clamped_sway_sway_p6_ph4.189,sway,6.0,COARSE (ALT_HOLD),0.2,15.7,0.098,0.12,1.222,3.482,0.105,0.101,0.929,0.141,0.031,0.061,3.872,2.568,0.468,6.0
clamped_sway_sway_p6_ph4.189,sway,6.0,FINE (STABILIZE),15.8,65.0,0.1,0.19,1.896,352.618,0.105,0.109,0.94,0.207,0.058,0.066,3.432,2.755,0.364,6.0
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),15.9,52.5,0.1,0.172,1.72,341.554,0.078,0.081,0.961,0.14,0.025,0.048,5.324,3.171,0.625,8.0
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),129.1,165.8,0.099,0.175,1.756,343.059,0.078,0.083,0.942,0.148,0.029,0.05,4.786,2.906,0.545,8.0
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),182.4,224.2,0.1,0.164,1.639,339.98,0.079,0.083,0.974,0.135,0.027,0.05,4.808,2.925,0.497,8.0
clamped_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),15.2,57.2,0.1,0.168,1.679,340.987,0.079,0.082,0.967,0.139,0.027,0.049,4.988,3.134,0.609,8.0
clamped_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),70.2,106.6,0.1,0.172,1.721,343.181,0.078,0.082,0.941,0.146,0.027,0.049,4.978,3.034,0.649,8.0
