cell,arm,period,mode,t_start,t_end,dock_amp,veh_amp,ratio,veh_phase_deg,dock_vel_amp,est_vel_amp,est_vel_corr,veh_vel_amp,cmd_amp,ff_share,plant_gain,plant_gain_broadband,plant_lag_s,fit_period
clamped_static_sway_p6_ph0.0,static,6.0,COARSE (ALT_HOLD),-0.5,16.0,0.093,0.02,0.217,46.381,0.102,0.0,nan,0.042,0.004,0.0,4.726,2.258,0.419,5.5
clamped_static_sway_p6_ph2.094,static,6.0,COARSE (ALT_HOLD),3.1,18.2,0.067,0.013,0.187,311.841,0.105,0.0,nan,0.084,0.002,0.0,6.998,3.787,1.526,7.55
clamped_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),3.0,16.4,0.087,0.028,0.326,94.415,0.107,0.0,nan,0.058,0.009,0.0,2.895,2.268,1.007,6.7
clamped_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),79.6,95.9,0.091,0.009,0.094,286.597,0.101,0.0,nan,0.043,0.004,0.0,5.226,2.527,0.834,5.43
clamped_sway_sway_p10_ph0.0,sway,10.0,FINE (STABILIZE),14.1,44.8,0.1,0.148,1.483,336.414,0.062,0.065,0.966,0.1,0.012,0.039,7.911,2.988,0.781,10.23
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),10.1,34.0,0.083,0.12,1.435,340.262,0.062,0.066,0.964,0.102,0.01,0.04,6.773,2.638,0.703,11.95
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),53.8,80.9,0.083,0.128,1.532,340.672,0.064,0.065,0.964,0.105,0.015,0.039,5.653,2.977,0.501,9.03
clamped_sway_sway_p10_ph2.094,sway,10.0,FINE (STABILIZE),99.5,122.6,0.088,0.13,1.475,339.866,0.062,0.065,0.97,0.099,0.011,0.039,6.289,2.838,0.345,11.55
clamped_sway_sway_p10_ph4.189,sway,10.0,FINE (STABILIZE),17.5,48.3,0.099,0.152,1.529,335.141,0.063,0.066,0.967,0.104,0.011,0.04,8.571,3.039,1.164,10.27
clamped_sway_sway_p6_ph0.0,sway,6.0,COARSE (ALT_HOLD),1.5,15.4,0.089,0.09,1.019,351.217,0.102,0.103,0.9,0.146,0.027,0.062,2.968,2.133,0.399,6.95
clamped_sway_sway_p6_ph0.0,sway,6.0,FINE (STABILIZE),15.5,48.9,0.069,0.128,1.847,351.325,0.105,0.104,0.947,0.211,0.04,0.063,3.548,2.759,0.398,5.57
clamped_sway_sway_p6_ph2.094,sway,6.0,COARSE (ALT_HOLD),1.2,15.1,0.088,0.094,1.066,0.16,0.102,0.102,0.907,0.145,0.036,0.061,2.327,2.218,2.312,6.95
clamped_sway_sway_p6_ph2.094,sway,6.0,FINE (STABILIZE),15.2,48.1,0.069,0.136,1.976,351.514,0.105,0.102,0.919,0.209,0.05,0.061,2.593,2.814,0.364,6.58
clamped_sway_sway_p6_ph4.189,sway,6.0,COARSE (ALT_HOLD),0.2,15.7,0.072,0.096,1.32,19.799,0.105,0.101,0.929,0.141,0.029,0.061,3.693,2.568,0.334,5.17
clamped_sway_sway_p6_ph4.189,sway,6.0,FINE (STABILIZE),15.8,65.0,0.093,0.178,1.92,351.943,0.105,0.109,0.94,0.207,0.055,0.066,3.424,2.755,0.373,6.15
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),15.9,52.5,0.076,0.128,1.683,342.74,0.078,0.081,0.961,0.14,0.015,0.048,6.063,3.171,0.617,7.32
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),129.1,165.8,0.074,0.129,1.752,342.677,0.078,0.083,0.942,0.148,0.02,0.05,5.359,2.906,0.479,7.34
clamped_sway_sway_p8_ph0.0,sway,8.0,FINE (STABILIZE),182.4,224.2,0.092,0.152,1.665,339.963,0.079,0.083,0.974,0.135,0.024,0.05,4.983,2.925,0.634,8.36
clamped_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),15.2,57.2,0.088,0.151,1.711,340.614,0.079,0.082,0.967,0.139,0.025,0.049,4.867,3.134,0.683,8.4
clamped_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),70.2,106.6,0.072,0.128,1.78,340.57,0.078,0.082,0.941,0.146,0.019,0.049,5.239,3.034,0.497,7.28
clamped_sway_sway_p8_ph4.189,sway,8.0,COARSE (ALT_HOLD),2.4,19.1,0.098,0.102,1.043,357.051,0.079,0.077,0.938,0.11,0.017,0.046,4.19,2.096,0.666,8.35
clamped_sway_sway_p8_ph4.189,sway,8.0,FINE (STABILIZE),19.1,61.9,0.081,0.141,1.749,341.349,0.078,0.081,0.961,0.141,0.021,0.049,5.168,3.263,0.533,8.56
overnight_static_sway_p6_ph0.0,static,6.0,COARSE (ALT_HOLD),0.7,14.5,0.082,0.031,0.38,72.072,0.106,0.0,nan,0.071,0.006,0.0,5.16,2.663,1.238,6.9
overnight_static_sway_p6_ph2.094,static,6.0,COARSE (ALT_HOLD),1.0,13.5,0.1,0.032,0.318,68.25,0.103,0.0,nan,0.07,0.005,0.0,10.382,2.844,1.119,6.25
overnight_static_sway_p6_ph4.189,static,6.0,COARSE (ALT_HOLD),2.4,14.8,0.098,0.035,0.355,72.171,0.106,0.0,nan,0.058,0.007,0.0,5.204,2.265,0.673,6.2
overnight_sway_sway_p6_ph0.0,sway,6.0,FINE (STABILIZE),11.8,44.3,0.076,0.133,1.746,354.915,0.104,0.083,0.925,0.183,0.019,0.05,7.017,3.012,1.262,6.5
overnight_sway_sway_p6_ph2.094,sway,6.0,COARSE (ALT_HOLD),1.2,15.3,0.084,0.101,1.202,357.234,0.103,0.094,0.876,0.146,0.012,0.056,7.454,2.519,0.779,7.05
overnight_sway_sway_p6_ph2.094,sway,6.0,FINE (STABILIZE),15.3,45.6,0.099,0.165,1.66,358.2,0.105,0.079,0.904,0.183,0.028,0.048,6.226,2.898,1.349,6.06
overnight_sway_sway_p6_ph4.189,sway,6.0,FINE (STABILIZE),13.3,45.2,0.086,0.149,1.726,359.599,0.104,0.079,0.916,0.18,0.027,0.047,5.528,2.85,1.451,6.38
overnight_sway_sway_p8_ph2.094,sway,8.0,FINE (STABILIZE),14.1,35.0,0.073,0.102,1.4,345.448,0.08,0.062,0.917,0.128,0.012,0.037,7.549,3.204,1.522,6.97
overnight_sway_sway_p8_ph4.189,sway,8.0,FINE (STABILIZE),10.4,37.8,0.075,0.122,1.633,346.351,0.078,0.067,0.954,0.132,0.002,0.04,39.73,3.119,5.229,9.13
