cell,arm,dock,period,phase,nav,outcome,n_meas,meas_err_rms_cm,track_err_rms_cm,vel_ratio,vel_corr,veh_over_dock,gap_frac,max_est_err_cm,n_gaps_gt1s
clamped_static_sway_p10_ph0.0,static,sway,10.0,0.0,,DOCKED,207,0.33,3.75,0.0,nan,0.84,0.14,14.7,1
clamped_static_sway_p10_ph2.094,static,sway,10.0,2.094,,DOCKED,228,0.93,5.49,0.0,nan,1.06,0.13,20.1,2
clamped_static_sway_p10_ph4.189,static,sway,10.0,4.189,,DOCKED,215,0.3,3.69,0.0,nan,0.96,0.09,17.4,1
clamped_static_sway_p12_ph0.0,static,sway,12.0,0.0,,DOCKED,317,0.31,7.3,0.0,nan,1.01,0.0,18.8,0
clamped_static_sway_p12_ph2.094,static,sway,12.0,2.094,,DOCKED,181,0.24,1.64,0.0,nan,1.06,0.0,4.0,0
clamped_static_sway_p12_ph4.189,static,sway,12.0,4.189,,DOCKED,215,0.33,4.77,0.0,nan,1.19,0.2,17.0,2
clamped_static_sway_p16_ph0.0,static,sway,16.0,0.0,,DOCKED,238,0.19,3.03,0.0,nan,0.92,0.22,12.9,1
clamped_static_sway_p16_ph2.094,static,sway,16.0,2.094,,DOCKED,210,0.74,4.62,0.0,nan,1.07,0.26,18.7,1
clamped_static_sway_p16_ph4.189,static,sway,16.0,4.189,,DOCKED,230,0.86,2.05,0.0,nan,0.95,0.0,5.1,0
clamped_static_sway_p20_ph0.0,static,sway,20.0,0.0,,DOCKED,234,0.28,2.41,0.0,nan,0.89,0.0,6.0,0
clamped_static_sway_p20_ph2.094,static,sway,20.0,2.094,,DOCKED,215,0.25,1.66,0.0,nan,0.79,0.0,4.2,0
clamped_static_sway_p20_ph4.189,static,sway,20.0,4.189,,DOCKED,268,0.3,2.33,0.0,nan,0.94,0.08,10.2,1
clamped_static_sway_p6_ph0.0,static,sway,6.0,0.0,,DOCKED,243,0.26,6.19,0.0,nan,0.74,0.32,15.6,2
